Timestamp,Garage Name,Occupancy,Last Updated Day,Last Updated Month,Last Updated Date,Last Updated Time
2025-03-21 02:18:27,North Garage,5,Friday,March,2025-3-21,2:17:00 AM
2025-03-21 02:21:38,North Garage,5,Friday,March,2025-3-21,2:21:00 AM
2025-03-21 03:35:27,North Garage,5,Friday,March,2025-3-21,3:33:00 AM
2025-03-21 03:56:30,North Garage,5,Friday,March,2025-3-21,3:53:00 AM
2025-03-21 04:02:05,North Garage,5,Friday,March,2025-3-21,4:01:00 AM
2025-03-21 04:17:06,North Garage,5,Friday,March,2025-3-21,4:17:00 AM
2025-03-21 04:32:06,North Garage,5,Friday,March,2025-3-21,4:29:00 AM
2025-03-21 04:47:06,North Garage,5,Friday,March,2025-3-21,4:45:00 AM
2025-03-21 05:02:07,North Garage,5,Friday,March,2025-3-21,5:01:00 AM
2025-03-21 05:17:07,North Garage,5,Friday,March,2025-3-21,5:17:00 AM
2025-03-21 05:32:07,North Garage,5,Friday,March,2025-3-21,5:29:00 AM
2025-03-21 05:47:08,North Garage,5,Friday,March,2025-3-21,5:45:00 AM
2025-03-21 06:02:08,North Garage,5,Friday,March,2025-3-21,6:01:00 AM
2025-03-21 06:17:08,North Garage,5,Friday,March,2025-3-21,6:17:00 AM
2025-03-21 06:32:09,North Garage,5,Friday,March,2025-3-21,6:29:00 AM
2025-03-21 06:47:09,North Garage,6,Friday,March,2025-3-21,6:45:00 AM
2025-03-21 07:02:09,North Garage,6,Friday,March,2025-3-21,7:01:00 AM
2025-03-21 07:17:09,North Garage,7,Friday,March,2025-3-21,7:17:00 AM
2025-03-21 07:32:10,North Garage,8,Friday,March,2025-3-21,7:29:00 AM
2025-03-21 07:47:10,North Garage,9,Friday,March,2025-3-21,7:45:00 AM
2025-03-21 08:02:10,North Garage,12,Friday,March,2025-3-21,8:01:00 AM
2025-03-21 08:17:11,North Garage,16,Friday,March,2025-3-21,8:17:00 AM
2025-03-21 08:32:11,North Garage,19,Friday,March,2025-3-21,8:29:00 AM
2025-03-21 08:47:11,North Garage,23,Friday,March,2025-3-21,8:45:00 AM
2025-03-21 09:02:12,North Garage,27,Friday,March,2025-3-21,9:01:00 AM
2025-03-21 09:17:12,North Garage,30,Friday,March,2025-3-21,9:17:00 AM
2025-03-21 09:32:12,North Garage,32,Friday,March,2025-3-21,9:29:00 AM
2025-03-21 09:47:13,North Garage,35,Friday,March,2025-3-21,9:45:00 AM
2025-03-21 10:02:13,North Garage,36,Friday,March,2025-3-21,10:01:00 AM
2025-03-21 10:17:13,North Garage,37,Friday,March,2025-3-21,10:17:00 AM
2025-03-21 10:32:14,North Garage,37,Friday,March,2025-3-21,10:28:00 AM
2025-03-21 10:47:14,North Garage,38,Friday,March,2025-3-21,10:45:00 AM
2025-03-21 11:02:14,North Garage,38,Friday,March,2025-3-21,11:01:00 AM
2025-03-21 11:17:15,North Garage,38,Friday,March,2025-3-21,11:17:00 AM
2025-03-21 11:32:15,North Garage,39,Friday,March,2025-3-21,11:29:00 AM
2025-03-21 11:47:15,North Garage,39,Friday,March,2025-3-21,11:45:00 AM
2025-03-21 12:02:15,North Garage,40,Friday,March,2025-3-21,12:01:00 PM
2025-03-21 12:17:16,North Garage,38,Friday,March,2025-3-21,12:17:00 PM
2025-03-21 12:32:16,North Garage,38,Friday,March,2025-3-21,12:29:00 PM
2025-03-21 12:47:16,North Garage,38,Friday,March,2025-3-21,12:45:00 PM
2025-03-21 13:02:17,North Garage,38,Friday,March,2025-3-21,1:01:00 PM
2025-03-21 13:17:17,North Garage,37,Friday,March,2025-3-21,1:17:00 PM
2025-03-21 13:32:18,North Garage,36,Friday,March,2025-3-21,1:29:00 PM
2025-03-21 13:47:18,North Garage,35,Friday,March,2025-3-21,1:45:00 PM
2025-03-21 14:02:18,North Garage,35,Friday,March,2025-3-21,2:01:00 PM
2025-03-21 14:17:19,North Garage,35,Friday,March,2025-3-21,2:17:00 PM
2025-03-21 14:32:19,North Garage,34,Friday,March,2025-3-21,2:29:00 PM
2025-03-21 14:47:20,North Garage,34,Friday,March,2025-3-21,2:45:00 PM
2025-03-21 15:02:20,North Garage,34,Friday,March,2025-3-21,3:01:00 PM
2025-03-21 15:17:20,North Garage,33,Friday,March,2025-3-21,3:17:00 PM
2025-03-21 15:32:21,North Garage,32,Friday,March,2025-3-21,3:29:00 PM
2025-03-21 15:47:21,North Garage,31,Friday,March,2025-3-21,3:45:00 PM
2025-03-21 16:02:21,North Garage,30,Friday,March,2025-3-21,4:01:00 PM
2025-03-21 16:17:22,North Garage,29,Friday,March,2025-3-21,4:17:00 PM
2025-03-21 16:32:22,North Garage,27,Friday,March,2025-3-21,4:29:00 PM
2025-03-21 16:47:22,North Garage,26,Friday,March,2025-3-21,4:45:00 PM
2025-03-21 17:02:23,North Garage,24,Friday,March,2025-3-21,5:01:00 PM
2025-03-21 17:17:23,North Garage,21,Friday,March,2025-3-21,5:17:00 PM
2025-03-21 17:32:23,North Garage,19,Friday,March,2025-3-21,5:29:00 PM
2025-03-21 17:47:23,North Garage,18,Friday,March,2025-3-21,5:45:00 PM
2025-03-21 18:02:24,North Garage,17,Friday,March,2025-3-21,6:01:00 PM
2025-03-21 18:17:24,North Garage,16,Friday,March,2025-3-21,6:17:00 PM
2025-03-21 18:32:24,North Garage,16,Friday,March,2025-3-21,6:29:00 PM
2025-03-21 18:47:25,North Garage,16,Friday,March,2025-3-21,6:45:00 PM
2025-03-21 19:02:25,North Garage,15,Friday,March,2025-3-21,7:00:00 PM
2025-03-21 19:17:25,North Garage,14,Friday,March,2025-3-21,7:17:00 PM
2025-03-21 19:32:26,North Garage,14,Friday,March,2025-3-21,7:29:00 PM
2025-03-21 19:47:26,North Garage,13,Friday,March,2025-3-21,7:45:00 PM
2025-03-21 20:02:26,North Garage,13,Friday,March,2025-3-21,8:01:00 PM
2025-03-21 20:17:27,North Garage,12,Friday,March,2025-3-21,8:17:00 PM
2025-03-21 20:32:27,North Garage,12,Friday,March,2025-3-21,8:29:00 PM
2025-03-21 20:47:27,North Garage,11,Friday,March,2025-3-21,8:45:00 PM
2025-03-21 21:02:28,North Garage,11,Friday,March,2025-3-21,9:01:00 PM
2025-03-21 21:17:28,North Garage,10,Friday,March,2025-3-21,9:17:00 PM
2025-03-21 21:32:28,North Garage,10,Friday,March,2025-3-21,9:29:00 PM
2025-03-21 21:47:29,North Garage,9,Friday,March,2025-3-21,9:45:00 PM
2025-03-21 22:02:29,North Garage,8,Friday,March,2025-3-21,10:01:00 PM
2025-03-21 22:17:29,North Garage,7,Friday,March,2025-3-21,10:17:00 PM
2025-03-21 22:32:30,North Garage,7,Friday,March,2025-3-21,10:29:00 PM
2025-03-21 22:47:30,North Garage,7,Friday,March,2025-3-21,10:45:00 PM
2025-03-21 23:02:31,North Garage,7,Friday,March,2025-3-21,11:01:00 PM
2025-03-21 23:17:31,North Garage,7,Friday,March,2025-3-21,11:17:00 PM
2025-03-21 23:32:31,North Garage,6,Friday,March,2025-3-21,11:29:00 PM
2025-03-21 23:47:32,North Garage,6,Friday,March,2025-3-21,11:45:00 PM
2025-03-22 00:02:47,North Garage,6,Saturday,March,2025-3-22,12:01:00 AM
