Timestamp,Garage Name,Address,Occupancy,Last Updated
2025-03-21 02:18:27,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Friday, 2025-3-21 2:17:00 AM"
2025-03-21 02:21:38,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Friday, 2025-3-21 2:21:00 AM"
2025-03-21 03:35:27,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Friday, 2025-3-21 3:33:00 AM"
2025-03-21 03:56:30,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Friday, 2025-3-21 3:53:00 AM"
2025-03-21 04:02:05,South Garage,"377 S. 7th St., San Jose, CA 95112",31,"Friday, 2025-3-21 4:01:00 AM"
2025-03-21 04:17:06,South Garage,"377 S. 7th St., San Jose, CA 95112",32,"Friday, 2025-3-21 4:17:00 AM"
2025-03-21 04:32:06,South Garage,"377 S. 7th St., San Jose, CA 95112",32,"Friday, 2025-3-21 4:29:00 AM"
2025-03-21 04:47:06,South Garage,"377 S. 7th St., San Jose, CA 95112",32,"Friday, 2025-3-21 4:45:00 AM"
2025-03-21 05:02:07,South Garage,"377 S. 7th St., San Jose, CA 95112",32,"Friday, 2025-3-21 5:01:00 AM"
2025-03-21 05:17:07,South Garage,"377 S. 7th St., San Jose, CA 95112",32,"Friday, 2025-3-21 5:17:00 AM"
2025-03-21 05:32:07,South Garage,"377 S. 7th St., San Jose, CA 95112",33,"Friday, 2025-3-21 5:29:00 AM"
2025-03-21 05:47:08,South Garage,"377 S. 7th St., San Jose, CA 95112",34,"Friday, 2025-3-21 5:45:00 AM"
2025-03-21 06:02:08,South Garage,"377 S. 7th St., San Jose, CA 95112",34,"Friday, 2025-3-21 6:01:00 AM"
2025-03-21 06:17:08,South Garage,"377 S. 7th St., San Jose, CA 95112",34,"Friday, 2025-3-21 6:17:00 AM"
2025-03-21 06:32:09,South Garage,"377 S. 7th St., San Jose, CA 95112",34,"Friday, 2025-3-21 6:29:00 AM"
2025-03-21 06:47:09,South Garage,"377 S. 7th St., San Jose, CA 95112",35,"Friday, 2025-3-21 6:45:00 AM"
2025-03-21 07:02:09,South Garage,"377 S. 7th St., San Jose, CA 95112",35,"Friday, 2025-3-21 7:01:00 AM"
2025-03-21 07:17:09,South Garage,"377 S. 7th St., San Jose, CA 95112",36,"Friday, 2025-3-21 7:17:00 AM"
2025-03-21 07:32:10,South Garage,"377 S. 7th St., San Jose, CA 95112",38,"Friday, 2025-3-21 7:29:00 AM"
2025-03-21 07:47:10,South Garage,"377 S. 7th St., San Jose, CA 95112",39,"Friday, 2025-3-21 7:45:00 AM"
2025-03-21 08:02:10,South Garage,"377 S. 7th St., San Jose, CA 95112",43,"Friday, 2025-3-21 8:01:00 AM"
2025-03-21 08:17:11,South Garage,"377 S. 7th St., San Jose, CA 95112",46,"Friday, 2025-3-21 8:17:00 AM"
